iter	Passed	Remaining
415	2783	10599
416	2788	10586
417	2794	10575
418	2799	10563
419	2804	10551
420	2811	10543
421	2816	10530
422	2821	10517
423	2827	10508
424	2832	10495
425	2837	10485
426	2843	10476
427	2849	10464
428	2853	10451
429	2860	10445
430	2865	10432
431	2870	10420
432	2876	10409
433	2881	10399
434	2887	10386
435	2893	10377
436	2898	10365
437	2903	10353
438	2908	10343
439	2914	10332
440	2919	10321
441	2925	10313
442	2931	10302
443	2936	10290
444	2942	10282
445	2947	10271
446	2952	10258
447	2959	10253
448	2965	10242
449	2970	10230
450	2975	10218
451	2980	10206
452	2984	10193
453	2991	10186
454	2996	10175
455	3001	10164
456	3007	10156
457	3013	10145
458	3018	10133
459	3025	10127
460	3030	10116
461	3035	10105
462	3041	10095
463	3046	10084
464	3051	10074
465	3057	10065
466	3062	10053
467	3067	10042
468	3073	10032
469	3078	10021
470	3083	10010
471	3090	10006
472	3096	9995
473	3101	9985
474	3107	9976
475	3112	9965
476	3117	9953
477	3124	9947
478	3129	9937
479	3134	9926
480	3140	9917
481	3145	9906
482	3150	9895
483	3156	9886
484	3162	9877
485	3167	9866
486	3172	9856
487	3177	9845
488	3183	9835
489	3188	9826
490	3193	9815
491	3199	9806
492	3205	9797
493	3210	9787
494	3215	9776
495	3221	9769
496	3226	9758
497	3231	9747
498	3238	9740
499	3243	9731
500	3250	9725
501	3256	9718
502	3262	9710
503	3269	9703
504	3274	9694
505	3279	9684
506	3285	9675
507	3291	9665
508	3296	9657
509	3303	9650
510	3308	9640
511	3313	9630
512	3319	9622
513	3325	9613
514	3330	9603
515	3336	9596
516	3342	9587
517	3348	9579
518	3354	9571
519	3359	9562
520	3365	9553
521	3370	9544
522	3376	9534
523	3382	9527
524	3388	9520
525	3394	9513
526	3401	9506
527	3407	9498
528	3413	9493
529	3419	9484
530	3425	9476
531	3431	9469
532	3437	9460
533	3442	9451
534	3448	9442
535	3453	9433
536	3459	9425
537	3465	9416
538	3470	9407
539	3476	9399
540	3482	9391
541	3487	9382
542	3493	9374
543	3503	9376
544	3515	9384
545	3526	9390
546	3535	9392
547	3546	9396
548	3555	9396
549	3564	9397
550	3573	9397
551	3582	9397
552	3592	9399
553	3601	9400
554	3612	9404
555	3621	9405
556	3631	9408
557	3641	9411
558	3652	9415
559	3662	9417
560	3672	9418
561	3682	9421
562	3692	9424
563	3701	9424
564	3712	9427
565	3721	9429
566	3731	9430
567	3741	9433
568	3750	9433
569	3760	9433
570	3769	9433
571	3779	9435
572	3788	9436
573	3797	9435
574	3808	9439
575	3819	9442
576	3830	9446
577	3841	9450
578	3850	9450
579	3859	9450
580	3870	9452
581	3880	9454
582	3890	9455
583	3899	9456
584	3909	9457
585	3920	9459
586	3929	9459
587	3940	9461
588	3949	9461
589	3958	9459
590	3967	9459
591	3978	9461
592	3989	9464
593	3998	9464
594	4008	9466
595	4018	9467
596	4027	9465
597	4037	9465
598	4047	9467
599	4058	9469
600	4069	9473
601	4080	9476
602	4091	9478
603	4103	9483
604	4114	9486
605	4125	9490
606	4137	9495
607	4149	9499
608	4158	9497
609	4168	9498
610	4178	9499
611	4188	9500
612	4198	9500
613	4208	9499
614	4219	9503
615	4230	9505
616	4241	9507
617	4253	9512
618	4264	9514
619	4274	9514
620	4285	9517
621	4296	9519
622	4307	9520
623	4318	9522
